2008-06-14 07:52:55|1|0|690360320|2101829632|2266648576
2008-06-14 11:31:08|3|13091656|721494016|2100572160|2300416000
2008-06-14 14:08:29|1|0|760393728|2100776960|2340315136
2008-06-14 18:59:25|1|0|599097344|2100768768|2212937728
2008-06-19 14:54:48|1|0|660123648|2100604928|2254217216
2008-06-22 13:10:32|1|0|636579840|2100768768|2222448640
2008-06-22 13:50:43|3|2407187|620793856|2083577856|2212556800
2008-06-22 13:51:07|3|2431265|621641728|2083581952|2213220352
2008-06-22 13:52:25|3|2509500|621404160|2083581952|2213621760
2008-06-22 13:53:21|3|2565453|618680320|2083581952|2210697216
2008-06-22 13:55:06|3|2670109|620417024|2083581952|2212442112
2008-06-22 13:55:49|3|2713828|619827200|2083581952|2211897344
2008-06-22 13:57:55|3|2839203|618856448|2083581952|2210934784
2008-06-22 14:02:29|3|3113140|624238592|2084630528|2212900864
2008-06-22 14:29:34|3|4738609|624656384|2084630528|2216648704
2008-11-13 08:29:42|1|0|654319616|2100744192|2224357376
2008-12-21 17:59:40|1|0|536416256|2100744192|2122338304
2009-02-14 18:35:39|1|0|577179648|2100768768|2148921344
2010-02-08 09:00:18|1|0|3036729344|1998503936|4294967295
2010-02-09 14:06:58|4|104799802|3003826176|1989607424|4294967295
2010-02-09 14:06:58|3|104799802|3004084224|1989607424|4294967295
2012-04-16 20:14:07|1|0|2341167104|2006224896|4294967295
2015-06-30 19:16:08|1|0|4294967295|1997185024|4294967295
2015-06-30 19:39:58|3|1430279|4294967295|1996652544|4294967295
